County,Population,Anglo,Black,Hispanic,Other
Martin,0.54,2797,73,2493,68
Mason,0.42,3111,14,1013,41
Matagorda,3.91,17048,4238,16565,1296
Maverick,6.17,1693,79,59029,895
Medina,5.46,24075,973,28584,1000
Menard,0.24,1417,11,950,16
Midland,15.45,71681,9401,67982,5452
Milam,2.64,16190,2564,7166,451
Mills,0.52,4081,26,982,71
Mitchell,0.99,4792,1048,3939,138
Montague,2.11,17976,38,2653,465
Montgomery,61.32,392315,26914,165610,28330
Moore,2.50,8130,323,13891,2686
Morris,1.37,8619,3242,1461,411
Motley,0.12,986,24,188,10
Nacogdoches,7.15,40919,12990,15115,2441
Navarro,5.38,29579,6564,15847,1821
Newton,1.44,10482,3019,471,402
Nolan,1.60,9145,731,5812,297
Nueces,36.91,104178,12638,239085,13241
Ochiltree,1.22,5065,19,6925,181
Oldham,0.22,1769,71,300,52
Orange,8.68,69077,7742,6963,3054
Palo Pinto,3.10,23169,646,6522,651
Panola,2.55,18158,4079,2762,542
Parker,14.96,120031,2385,22604,4596
Parmer,1.19,3723,96,8012,78
Pecos,1.68,4307,524,11700,262
Polk,5.06,35252,5519,7978,1851
Potter,13.17,55724,12547,53289,10139
Presidio,0.86,1179,27,7192,152
Rains,1.27,10973,261,1134,310
Randall,13.74,98221,3692,29864,5613
Reagan,0.38,1271,63,2442,31
Real,0.34,2366,24,957,83
Red River,1.34,9545,2414,1083,346
Reeves,1.47,2560,675,11279,206
Refugio,0.75,3083,475,3818,122
Roberts,0.10,890,0,88,14
Robertson,1.90,10525,3996,4086,357
Rockwall,10.76,74810,7052,19905,5796
Runnels,1.09,6590,179,3976,148
Rusk,6.12,37674,10524,11416,1599
Sabine,1.19,10434,833,400,242
San Augustine,0.93,6275,2184,640,165
San Jacinto,3.12,22805,3282,4343,769
San Patricio,6.77,26120,966,39058,1587
San Saba,0.64,4033,197,2070,94
Schleicher,0.38,1985,31,1798,21
Scurry,1.85,9694,812,7714,272
Shackelford,0.37,3178,14,398,64
Shelby,2.80,17205,4723,5683,402
Sherman,0.33,1729,12,1568,32
Smith,23.59,132913,41661,52224,9142
Somervell,1.01,7469,60,2264,261
Starr,6.74,2719,15,64510,181
Stephens,1.02,7366,196,2448,151
Sterling,0.12,752,13,412,30
Stonewall,0.15,1191,37,242,36
Sutton,0.46,1657,6,2866,23
Swisher,0.82,3782,595,3632,144
Tarrant,205.79,911370,319800,653515,173241
Taylor,13.73,85383,9792,35160,6965
Terrell,0.10,500,6,517,16
Terry,1.32,5433,595,7021,160
Throckmorton,0.16,1442,9,171,25
Titus,3.66,15571,3319,16876,848
Tom Green,11.40,60736,4132,45237,3912
Travis,122.38,577211,90710,439756,116139
Trinity,1.62,12951,1562,1407,316
Tyler,2.25,17713,2553,1772,443
Upshur,4.39,34503,3891,4076,1478
Upton,0.38,1687,47,1996,51
Uvalde,2.82,7367,121,20287,386
Val Verde,5.25,8224,630,42911,710
Van Zandt,5.71,47447,1541,6566,1552
Victoria,9.16,39363,5642,44011,2608
Walker,7.17,40157,15677,13359,2524
Waller,5.47,22242,11901,19386,1146
Ward,1.11,4758,512,5620,221
Washington,3.69,22850,6587,6500,980
Webb,30.31,8664,569,291346,2481
Wharton,4.29,18847,5821,17640,576
Wheeler,0.58,3681,128,1874,117
Wichita,13.29,84119,13838,27214,7741
Wilbarger,1.46,8458,1156,4523,477
Willacy,2.59,2311,406,22904,238
Williamson,58.54,337608,36941,162193,48656
Wilson,5.43,30912,752,21600,1001
Winkler,0.81,3217,133,4612,154
Wise,7.11,52018,634,16517,1912
Wood,4.73,39062,2227,4986,1034
Yoakum,0.92,3016,60,5999,122
Young,1.96,14956,231,4043,393
Zapata,1.64,804,11,15559,66
Zavala,1.27,656,34,11948,32
